bookid,author,title
1281,Junot Díaz,This is How You Lose Her
1282,"Haruki Murakami, Jay Rubin",アフターダーク [Afutā dāku]
1283,Daniel Quinn,Ishmael: An Adventure of the Mind and Spirit
1284,Jenny Han,It's Not Summer Without You
1285,Katie McGarry,Pushing the Limits
1286,"Kennilworthy Whisp, J.K. Rowling",Quidditch Through the Ages
1287,"Harry Allard, James  Marshall",Miss Nelson Is Missing!
1288,"Richard Bachman, Stephen King",The Long Walk
1289,"Lemony Snicket, Brett Helquist",The Ersatz Elevator
1290,Lois Lowry,Messenger 
1291,J.R. Ward,Lover Revealed
1292,"Stephen King, Jerry N. Uelsmann",'Salem's Lot The Illustrated Edition
1293,"Trenton Lee Stewart, Carson Ellis",The Mysterious Benedict Society
1294,Christopher Hitchens,God is Not Great: How Religion Poisons Everything
1295,Abbi Glines,"Never Too Far (Too Far, #2)"
1296,Michael Crichton,State of Fear
1297,Jennifer E. Smith,The Statistical Probability of Love at First Sight
1298,Jonathan Stroud,The Golem's Eye
1299,Tom Robbins,Still Life with Woodpecker
1300,Jenna Blum,Those Who Save Us
1301,John Grisham,The Broker
1302,Beth Revis,Across the Universe
1303,M. Scott Peck,"The Road Less Traveled:  A New Psychology of Love, Traditional Values, and Spiritual Growth"
1304,Jim Butcher,Blood Rites
1305,"Gertrude Chandler Warner, L. Kate Deal",The Boxcar Children
1306,A.S.A. Harrison,The Silent Wife
1307,Caitlin Moran,How to Be a Woman
1308,Sarah J. Maas,A Court of Mist and Fury
1309,Keith Richards,Life
1310,Jhumpa Lahiri,Unaccustomed Earth
1311,Anita Shreve,The Pilot's Wife
1312,Don DeLillo,White Noise
1313,Stephen E. Ambrose,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest"
1314,Charles Darwin,On the Origin of Species by Means of Natural Selection or the Preservation of Favoured Races in the Struggle for Life
1315,Craig Thompson,Blankets
1316,David Wroblewski,The Story of Edgar Sawtelle
1317,Christina Schwarz,Drowning Ruth
1318,Charles Bukowski,Post Office
1319,Cormac McCarthy,All the Pretty Horses
1320,"Arthur Conan Doyle, Kyle Freeman","Sherlock Holmes: The Complete Novels and Stories, Vol 2"
1321,"Eiichirō Oda, Andy Nakatani","One Piece, Volume 01"
1322,Peter S. Beagle,The Last Unicorn
1323,Angie Sage,Magyk
1324,Laurie Halse Anderson,Fever 1793
1325,Tana French,The Likeness
1326,Erik Larson,Dead Wake: The Last Crossing of the Lusitania
1327,Rudyard Kipling,The Jungle Book
1328,Terry Hayes,I Am Pilgrim
1329,"Allen Ginsberg, William Carlos Williams",Howl and Other Poems 
1330,Richard Carlson,Don't Sweat the Small Stuff
1331,"Adam Mansbach, Ricardo Cortés",Go the Fuck to Sleep
1332,Douglas Adams,Mostly Harmless
1333,Walter Isaacson,Benjamin Franklin: An American Life
1334,Téa Obreht,The Tiger's Wife
1335,Maria V. Snyder,Poison Study
1336,J.R. Ward,Lover Unbound
1337,Terry Pratchett,Going Postal
1338,"Anonymous, Joseph Smith Jr.",The Book of Mormon
1339,Stephen King,The Mist
1340,Jim Butcher,Dead Beat
1341,Pierce Brown,Golden Son
1342,Terry Pratchett,Night Watch
1343,Terry Pratchett,The Light Fantastic
1344,Malcolm Gladwell,What the Dog Saw and Other Adventures
1345,Karin Slaughter,Pretty Girls
1346,Joe Abercrombie,Last Argument of Kings
1347,Stephen King,Revival
1348,Dr. Seuss,Horton Hears a Who!
1349,Michael   Lewis,The Blind Side: Evolution of a Game
1350,Garth Nix,Lirael
1351,James Patterson,School's Out Forever
1352,"Yana Toboso, Tomo Kimura",黒執事 I [Kuroshitsuji I]
1353,Marissa Meyer,Winter
1354,"Robert Louis Stevenson, Robert Mighall",The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror 
1355,Emily Seife,
1356,Peter V. Brett,The Painted Man
1357,John Bunyan,
1358,Lee Child,One Shot
1359,Rick Riordan,The Serpent's Shadow
1360,Stephen King,Duma Key
1361,Kate Morton,The Shifting Fog
1362,Robert Jordan,
1363,Jim Butcher,Proven Guilty
1364,"Fyodor Dostoyevsky, Andrew R. MacAndrew, Ben Marcus",Записки из подполья
1365,Carson McCullers,The Heart is a Lonely Hunter
1366,Rick Yancey,The Infinite Sea
1367,T.H. White,The Once and Future King
1368,Terry Pratchett,Small Gods
1369,Christopher Paul Curtis,"Bud, Not Buddy"
1370,Alison Bechdel,
1371,Dan Ariely,Predictably Irrational: The Hidden Forces that Shape Our Decisions
1372,أحمد مراد,الفيل الأزرق
1373,Lynne Reid Banks,The Indian in the Cupboard
1374,"Robert Jordan, Brandon Sanderson",A Memory of Light
1375,Jesse Andrews,Me and Earl and the Dying Girl
1376,Jeff Kinney,The Ugly Truth
1377,Janet Evanovich,"Janet Evanovich Three and Four Two-Book Set (Stephanie Plum, #3-4)"
1378,Simon Winchester,"The Surgeon of Crowthorne: a tale of murder, madness & the love of words"
1379,"James Patterson, Andrew Gross",2nd Chance
1380,Art Spiegelman,The Complete Maus
1381,Jasper Fforde,The Eyre Affair
1382,"Faye Perozich, Anne Rice, John Bolton, Daerick Gröss",Anne Rice's The Vampire Lestat: The Graphic Novel
1383,"Louis Sachar, Adam McCauley",
1384,"Dalai Lama XIV, Howard C. Cutler",The Art of Happiness: A Handbook for Living
1385,David Mitchell,The Bone Clocks
1386,Anna Quindlen,Black and Blue
1387,"L.J. Smith, Kevin Williamson, Julie Plec",
1388,John Grisham,The Last Juror
1389,Chuck Palahniuk,Diary
1390,Janet Evanovich,Eleven on Top
1391,"Cornelia Funke, Anthea Bell",Tintenblut
1392,Chuck Klosterman,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto"
1393,Evelyn Waugh,Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder
1394,Jim Butcher,White Night
1395,Jessie Burton,The Miniaturist
1396,"Margaret Weis, Tracy Hickman",Dragons of Autumn Twilight
1397,Eoin Colfer,The Lost Colony
1398,Scott Westerfeld,Extras
1399,John Flanagan,The Burning Bridge
1400,Deborah Harkness,The Book of Life
1401,Julia Cameron,The Artist's Way: A Spiritual Path to Higher Creativity
1402,"Jon Scieszka, Lane Smith",The Stinky Cheese Man and Other Fairly Stupid Tales
1403,Joe Hill,Horns
1404,Robert K. Massie,Catherine the Great: Portrait of a Woman
1405,Margaret Atwood,The Year of the Flood
1406,Kristin Hannah,Winter Garden
1407,John Grisham,The King of Torts
1408,"Marcus Luttrell, Patrick Robinson",Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10
1409,Chetan Bhagat,The 3 Mistakes of My Life
1410,Agatha Christie,The Murder of Roger Ackroyd
1411,Richard Wright,Native Son 
1412,Brent Weeks,Shadow's Edge
1413,Veronica Rossi,Under the Never Sky
1414,Nicholas Sparks,True Believer
1415,Eric Ries,The Lean Startup‎
1416,Richelle Mead,The Golden Lily
1417,Lauren Weisberger,Chasing Harry Winston
1418,David Eddings,Magician's Gambit
1419,"Roberto Aguirre-Sacasa, Stephen King, Mike Perkins, Laura       Martin",
1420,William L. Shirer,The Rise and Fall of the Third Reich: A History of Nazi Germany
1421,Nick Hornby,A Long Way Down
1422,"Jeff Smith, Steve Hamaker",Out from Boneville
1423,Stephen King,Rose Madder
1424,Lee Child,"Die Trying (Jack Reacher, #2)"
1425,"Kami Garcia, Margaret Stohl, Paz Pruneda",Beautiful Chaos
1426,Jodi Picoult,Keeping Faith
1427,Joe Hill,Heart-Shaped Box
1428,Jeff Kinney,Cabin Fever
1429,Brent Weeks,
1430,Lauren Weisberger,Everyone Worth Knowing
1431,Brian Jacques,Redwall
1432,"Karl Marx, Friedrich Engels, Gareth Stedman Jones",Manifest der Kommunistischen Partei
1433,Ruth Ware,The Woman in Cabin 10
1434,James Fenimore Cooper,The Last of the Mohicans: A Narrative of 1757
1435,William Styron,Sophie's Choice
1436,Sophie Kinsella,Shopaholic and Sister
1437,Julie Kagawa,The Iron Daughter
1438,Bruce H. Wilkinson,The Prayer of Jabez:  Breaking Through to the Blessed Life
1439,Karen Thompson Walker,The Age of Miracles
1440,Mitch Albom,Have a Little Faith: A True Story
1441,"Julia Child, Alex Prud'Homme",My Life in France
1442,Graeme Simsion,The Rosie Effect
1443,Amish Tripathi,The Secret of the Nagas.
1444,Charles Bukowski,Ham on Rye
1445,Wendelin Van Draanen,Flipped
1446,"Travis Bradberry, Jean Greaves, Patrick Lencioni",Emotional Intelligence 2.0
1447,Robert McCloskey,Make Way for Ducklings
1448,"Douglas Preston, Lincoln Child",Relic
1449,Bill Bryson,Notes from a Small Island
1450,Jim Butcher,Small Favor
1451,Robert Kirkman,The Walking Dead Compendium Volume 1
1452,Shannon Hale,Princess Academy
1453,"Nicola Yoon, David Yoon","Everything, Everything"
1454,George Bernard Shaw,Pygmalion
1455,Barbara Kingsolver,Flight Behavior
1456,Brandon Mull,Grip of the Shadow Plague
1457,Helen Fielding,Bridget Jones: The Edge of Reason
1458,Louis de Bernières,Captain Corelli's Mandolin
1459,Nicholas Sparks,At First Sight
1460,Bill Bryson,Down Under
1461,Arthur Conan Doyle,The Memoirs of Sherlock Holmes
1462,Adam Johnson,The Orphan Master's Son
1463,David Eddings,Enchanters' End Game
1464,"Marjane Satrapi, Mattias Ripa, Blake Ferris, Anjali Singh",Persepolis
1465,Chaim Potok,The Chosen
1466,"Irving Stone, שמואל שניצר",The Agony and the Ecstasy: A Biographical Novel of Michelangelo
1467,"Carlos Ruiz Zafón, Lucia Graves",El juego del ángel
1468,Cecelia Ahern,Where Rainbows End
1469,"Peggy Parish, Fritz Siebel",Amelia Bedelia
1470,Jodi Ellen Malpas,This Man
1471,W. Bruce Cameron,A Dog's Purpose 
1472,Sabaa Tahir,An Ember in the Ashes
1473,J.R. Ward,"Lover Enshrined, part one"
1474,Helene Wecker,The Golem and the Jinni
1475,"أحلام مستغانمي, Ahlam Mosteghanemi",الأسود يليق بك
1476,"Lemony Snicket, Brett Helquist",The Slippery Slope
1477,"Charles Dickens, Nicola Bradbury, Hablot Knight Browne",Bleak House
1478,Esphyr Slobodkina,"Caps for sale: a tale of a peddler, some monkeys and their monkey business"
1479,Jim Butcher,Furies of Calderon 
1480,Tamora Pierce,Alanna: The First Adventure
1481,Audrey Niffenegger,Her Fearful Symmetry
1482,Anita Diamant,The Boston Girl
1483,J.R. Ward,"Lover Enshrined, part two"
1484,Dan Simmons,The Fall of Hyperion
1485,James Ellroy,The Black Dahlia
1486,"Lewis Carroll, John Tenniel, Peter Glassman","Through the Looking-Glass, and What Alice Found There"
1487,Jung Chang,Wild Swans: Three Daughters of China
1488,P.D. Eastman,"Go, Dog. Go!"
1489,"Laura Ingalls Wilder, Garth Williams",
1490,Stephen King,Finders Keepers
1491,"Guillermo del Toro, Chuck Hogan",The Strain
1492,"Emily Dickinson, Thomas H. Johnson",The Complete Poems of Emily Dickinson
1493,Fred Gipson,Old Yeller
1494,Steve Martin,Born Standing Up: A Comic's Life
1495,Frank Warren,PostSecret: Extraordinary Confessions from Ordinary Lives
1496,George R.R. Martin,A Storm of Swords: Part 2 Blood and Gold
1497,"Mary Norton, Beth Krush, Joe Krush",The Borrowers Afield
1498,Stephen King,Hearts in Atlantis
1499,Jodi Picoult,
1500,"Haruki Murakami, Alfred Birnbaum",羊をめぐる冒険 [Hitsujiwomegurubōken]
1501,Philippa Gregory,The Queen's Fool
1502,Laini Taylor,Days of Blood & Starlight
1503,Tom Robbins,Jitterbug Perfume
1504,John Flanagan,"The Battle for Skandia (Ranger's Apprentice, #4)"
1505,Alexandra Bracken,The Darkest Minds
1506,"Paulo Coelho, Margaret Jull Costa",O Zahir
1507,Norman Vincent Peale,The Power of Positive Thinking
1508,Ruth Ware,"In a Dark, Dark Wood "
1509,"Edith Wharton, Nina Bawden",The House of Mirth
1510,"Hiro Mashima, William Flanagan",Fairy Tail 1
1511,"Patrick Rothfuss, Nate  Taylor",The Slow Regard of Silent Things
1512,Solomon Northup,Twelve Years a Slave
1513,J.R. Ward,"Lover Avenged, part one"
1514,Nathaniel Philbrick,In the Heart of the Sea: The Tragedy of the Whaleship Essex
1515,Ayaan Hirsi Ali,Infidel
1516,Nassim Nicholas Taleb,The Black Swan: The Impact of the Highly Improbable
1517,Justin Cronin,The Twelve
1518,"Aleksandr Solzhenitsyn, H.T. Willetts",Один день Ивана Денисовича
1519,Neal Stephenson,The Diamond Age
1520,Walter M. Miller Jr.,A Canticle for Leibowitz
1521,"Sophocles, J.E. Thomas",Ἀντιγόνη
1522,Colm Tóibín,Brooklyn
1523,Lauren DeStefano,Wither
1524,J.D. Vance,Hillbilly Elegy. A Memoir of a Family and Culture in Crisis
1525,Robert Jordan,Crossroads of Twilight
1526,Stephen Crane,The Red Badge of Courage
1527,Randall Munroe,What If?: Serious Scientific Answers to Absurd Hypothetical Questions
1528,Steven Erikson,Gardens of the Moon
1529,Paulo Coelho,A Bruxa de Portobello
1530,Madeleine L'Engle,A Swiftly Tilting Planet
1531,Suzanne Collins,Gregor the Overlander
1532,Jodi Picoult,Sing You Home
1533,Anne Rice,The Tale of the Body Thief
1534,David Baldacci,The Camel Club
1535,James Patterson,Saving The World and Other Extreme Sports
1536,Terry Goodkind,Blood of the Fold
1537,Philippa Gregory,The Boleyn Inheritance
1538,Anne Tyler,A Spool of Blue Thread
1539,Colson Whitehead,The Underground Railroad
1540,Melissa de la Cruz,Masquerade
1541,Julie Kagawa,The Iron Queen
1542,Cora Carmack,Losing It
1543,John Grisham,The Racketeer
1544,J.M. Coetzee,Disgrace
1545,"A.A. Milne, Ernest H. Shepard",The House at Pooh Corner
1546,Brent Weeks,The Black Prism
1547,Sue Monk Kidd,The Mermaid Chair
1548,Arnold Lobel,Frog and Toad Are Friends
1549,"Lemony Snicket, Brett Helquist",The Carnivorous Carnival
1550,Ally Carter,Heist Society
1551,B.A. Paris,Behind Closed Doors
1552,Michael Shaara,The Killer Angels
1553,Laurell K. Hamilton,"Circus of the Damned (Anita Blake, Vampire Hunter, #3)"
1554,Jonathan Stroud,Ptolemy's Gate
1555,H.G. Wells,The Island of Dr. Moreau
1556,Jennifer L. Armentrout,Opal
1557,Dave Eggers,Zeitoun
1558,Sharon M. Draper,Out of My Mind
1559,Lauren Kate,Rapture
1560,Amanda Hocking,Switched
1561,"Boris Pasternak, Max Hayward, Manya Harari, John Bayley",Доктор Живаго
1562,Colleen Hoover,
1563,Blake Crouch,Pines
1564,Michael Crichton,Disclosure
1565,P.D. James,Death Comes to Pemberley
1566,Edith Wharton,Ethan Frome
1567,"Jane Hamilton, Frank  Muller, C.J. Critt",A Map of the World
1568,Colleen Hoover,It Ends with Us
1569,"O. Henry, Lisbeth Zwerger",The Gift of the Magi
1570,Tom Wolfe,The Electric Kool-Aid Acid Test
1571,"William S. Burroughs, James Grauerholz, Barry  Miles",The Naked Lunch
1572,"Neil Gaiman, Kelley Jones, Charles Vess, Colleen Doran, Malcolm Jones III, Steve Erickson",The Sandman: Dream Country
1573,John Grisham,A Painted House
1574,"Ursula K. Le Guin, Lech Jęczmyk",The Left Hand of Darkness
1575,"John Green, Maureen Johnson, Lauren Myracle",Let It Snow: Three Holiday Romances
1576,Stephen King,"Full Dark, No Stars"
1577,Atul Gawande,Being Mortal: Medicine and What Matters in the End
1578,Dean Koontz,Intensity
1579,Chelsea Handler,Chelsea Chelsea Bang Bang
1580,"Henrik Ibsen, Michael   Meyer",Et dukkehjem
1581,James A. Michener,Hawaii
1582,Richard Yates,Revolutionary Road
1583,"Rachel Cohn, David Levithan",Nick & Norah's Infinite Playlist
1584,"Tom Stoppard, Henry Popkin",Rosencrantz and Guildenstern are Dead
1585,Maggie Stiefvater,Forever
1586,Alex Garland,The Beach
1587,"Beth Hoffman, Jenna Lamia",Saving CeeCee Honeycutt
1588,Charlaine Harris,Deadlocked
1589,Stephen King,Everything's Eventual: 14 Dark Tales
1590,Beverly Cleary,Beezus and Ramona
1591,Ursula K. Le Guin,The Farthest Shore
1592,Michael Crichton,Airframe
1593,Raymond E. Feist,Magician
1594,Jennifer Crusie,Bet Me
1595,Nelson Mandela,Long Walk to Freedom: The Autobiography of Nelson Mandela
1596,John Grisham,Gray Mountain
1597,Bryce Courtenay,The Power of One
1598,Dashiell Hammett,The Maltese Falcon
1599,Kristin Hannah,Night Road
1600,Lee Child,Tripwire
1601,Daniel Goleman,Emotional Intelligence
1602,Jim Butcher,Changes
1603,"Munro Leaf, Robert Lawson",The Story of Ferdinand
1604,Ellen Hopkins,Impulse
1605,Walter Scott,Ivanhoe
1606,Janet Evanovich,Ten Big Ones
1607,Michael Connelly,The Poet
1608,Kiersten White,Paranormalcy
1609,Mark Cotta Vaz,Eclipse: The Official Illustrated Movie Companion
1610,Adriana Trigiani,The Shoemaker's Wife
1611,Brandon Mull,Rise of the Evening Star
1612,"Nora Roberts, MacLeod Andrews",The Next Always
1613,"Haruki Murakami, Philip Gabriel",走ることについて語るときに僕の語ること [Hashiru koto ni tsuite kataru toki ni boku no kataru koto]
1614,Jenny Han,We'll Always Have Summer
1615,"Andre Agassi, J.R. Moehringer",Open: An Autobiography
1616,Anthony Horowitz,Alex Rider: Stormbreaker
1617,"Lee Child, Dick Hill",Without Fail 
1618,"Francine Rivers, Richard Ferrone",A Voice in the Wind
1619,Stephenie Meyer,
1620,Philip K. Dick,A Scanner Darkly 
1621,Daniel H. Pink,Drive: The Surprising Truth About What Motivates Us
1622,Mark Twain,A Connecticut Yankee in King Arthur's Court
1623,"Jeph Loeb, Tim Sale, Gregory Wright, Richard Starkings",Batman: The Long Halloween
1624,"Jean-Paul Sartre, Lloyd Alexander, Hayden Carruth",La Nausée
1625,John Eldredge,
1626,Brandon Mull,"Fablehaven: Secrets of the Dragon Sanctuary (Fablehaven, #4)"
1627,Janet Evanovich,Twelve Sharp
1628,Hugh Howey,Wool
1629,Ursula K. Le Guin,The Tombs of Atuan
1630,Jim Butcher,Turn Coat
1631,"Arthur Conan Doyle, Peter Ackroyd, Ed Glinert",The Sign of Four
1632,Jan Brett,РУКАВИЧКА: Українська народна казка
1633,Anne Rice,Memnoch The Devil
1634,Michael Scott,The Magician: The Secrets of The Immortal Nicholas Flamel
1635,"Doreen Cronin, Betsy Lewin","Click, Clack, Moo: Cows That Type"
1636,Patricia Briggs,Iron Kissed
1637,Kendare Blake,Anna Dressed in Blood
1638,"Terry Goodkind, Dick Hill","Temple of the Winds (Sword of Truth, #4)"
1639,Avi,The True Confessions of Charlotte Doyle
1640,Robert Goolrick,A Reliable Wife
1641,Ray Bradbury,Something Wicked This Way Comes
1642,Toni Morrison,Song of Solomon
1643,Tom Clancy,Red Storm Rising
1644,Leif Enger,Peace Like a River
1645,Chuck Palahniuk,Rant: An Oral Biography of Buster Casey
1646,Orson Scott Card,Shadow of the Hegemon
1647,أحمد مراد,تراب الماس
1648,"Janette Sebring Lowrey, Gustaf Tenggren",The Poky Little Puppy (a Little Golden Book)
1649,Maeve Binchy,Tara Road
1650,Jack London,The Call of the Wild / White Fang
1651,Tahereh Mafi,"Ignite Me (Shatter Me, #3)"
1652,Ally Carter,Cross My Heart and Hope to Spy
1653,Patricia Briggs,Blood Bound
1654,Jim Butcher,Cold Days
1655,Kate Jacobs,The Friday Night Knitting Club
1656,James Herriot,All Things Bright and Beautiful
1657,David Foster Wallace,Infinite Jest
1658,Emma Chase,Tangled
1659,John Wyndham,The Day of the Triffids
1660,"Patrick deWitt, Marcelo Barbão",The Sisters Brothers
1661,Shilpi Somaya Gowda,Secret Daughter
1662,"Roald Dahl, Quentin Blake",Fantastic Mr Fox
1663,"Paulo Coelho, Montserrat Mira",Brida
1664,Virginia Woolf,A Room of One's Own
1665,Brandon Sanderson,Warbreaker
1666,"William Shakespeare, Katherine Duncan-Jones",Sonnets
1667,Sarah Dessen,What Happened to Goodbye
1668,Leigh Bardugo,Six of Crows
1669,Maureen Johnson,13 Little Blue Envelopes
1670,"Ron Hall, Denver Moore, Lynn Vincent",Same Kind of Different as Me
1671,Rainbow Rowell,Carry On
1672,Tracy Kidder,"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, a Man Who Would Cure the World"
1673,Jodi Ellen Malpas,Beneath This Man 
1674,Mark  Lawrence,Prince of Thorns
1675,Jane Hamilton,The Book of Ruth
1676,Kurt Vonnegut Jr.,Galápagos
1677,Michael Crichton,Next
1678,Nancy Farmer,
1679,Walt Whitman,Leaves of Grass
1680,Nora Roberts,Blue Dahlia
1681,"D.H. Lawrence, Doris Lessing, Chester Brown",Lady Chatterley's Lover
1682,Lev Grossman,The Magician King
1683,Michael   Lewis,Liar's Poker: Rising Through the Wreckage on Wall Street
1684,George S. Clason,
1685,Jodi Picoult,Salem Falls
1686,"David Eddings, Leigh Eddings",Belgarath the Sorcerer
1687,Frank Herbert,The Great Dune Trilogy
1688,"Elizabeth Strout, Goran Skrobonja",My Name Is Lucy Barton
1689,Sarah Addison Allen,Garden Spells
1690,Jim Butcher,Ghost Story
1691,Frederick Douglass,Narrative of the Life of Frederick Douglass
1692,"Greg Behrendt, Liz Tuccillo",He's Just Not That Into You: The No-Excuses Truth to Understanding Guys
1693,David Eddings,Pawn of Prophecy
1694,Janet Evanovich,Lean Mean Thirteen
1695,"Rudyard Kipling, Alev Lytle Croutier",The Jungle Books
1696,Rachel Caine,Glass Houses
1697,"John Eldredge, Stasi Eldredge",
1698,"Peter David, Robin Furth, Jae Lee, Richard Isanove, Stephen King",The Dark Tower: The Gunslinger Born
1699,Kate Morton,The Lake House
1700,Ruth Ozeki,A Tale for the Time Being
1701,Tucker Max,I Hope They Serve Beer in Hell
1702,"Jay Crownover, Charlotte Connan de vries",Rule
1703,"Haruki Murakami, Philip Gabriel"," 国境の南、太陽の西 [Kokkyō no minami, taiyō no nishi]"
1704,Kurt Vonnegut Jr.,Mother Night
1705,Robert B. Cialdini,Influence: The Psychology of Persuasion
1706,"Edgar Allan Poe, Stephen Marlowe",The Fall of the House of Usher and Other Writings
1707,Louise Fitzhugh,Harriet the Spy
1708,Sarah Waters,The Paying Guests
1709,Dean Koontz,Forever Odd
1710,Bill Bryson,At Home: A Short History of Private Life
1711,Marian Keyes,Sushi for Beginners
1712,Louise Penny,Still Life
1713,Marian Keyes,Watermelon
1714,Amy Tan,The Kitchen God's Wife
1715,John Ajvide Lindqvist,Låt den rätte komma in
1716,Pittacus Lore,The Rise of Nine
1717,"Edgar Allan Poe, Benjamin F. Fisher",
1718,Ann Brashares,The Second Summer of the Sisterhood
1719,Dean Koontz,Phantoms
1720,Morgan Matson,
1721,Oswald Chambers,My Utmost for His Highest
1722,Terry Pratchett,The Wee Free Men
1723,Diana Gabaldon,Written in My Own Heart's Blood
1724,Andrea Cremer,Nightshade
1725,"Lewis Carroll, John Tenniel",
1726,Cornelia Funke,Drachenreiter
1727,Douglas Adams,The Long Dark Tea-Time of the Soul
1728,Naomi Novik,Uprooted
1729,Neal Stephenson,Seveneves
1730,Ernest Cline,Armada
1731,Peter V. Brett,The Desert Spear
1732,Agatha Christie,The Man in the Brown Suit
1733,John Grisham,The Summons
1734,Alfred Lansing,Endurance: Shackleton's incredible voyage
1735,Meg Cabot,"Size 12 Is Not Fat (Heather Wells, #1)"
1736,Blake Crouch,Dark Matter
1737,Victoria Aveyard,Glass Sword
1738,Rebecca Stead,When You Reach Me
1739,Tom Wolfe,The Bonfire of the Vanities
1740,Judy Blume,In the Unlikely Event
1741,Agatha Christie,Death on the Nile
1742,Phyllis Reynolds Naylor,Shiloh
1743,Leigh Bardugo,Siege and Storm
1744,"Jo Nesbø, Don Bartlett","Rødstrupe (Harry Hole, #3) "
1745,Scott Westerfeld,Leviathan
1746,James Patterson,Hide and Seek
1747,"Stephen Kendrick, Alex Kendrick",
1748,Jennifer Weiner,Goodnight Nobody
1749,Ben Sherwood,The Death and Life of Charlie St. Cloud
1750,Dale Carnegie,How to Stop Worrying and Start Living
1751,Nora Roberts,Born in Fire 
1752,Barbara Kingsolver,Animal Dreams
1753,Rebecca Donovan,Reason to Breathe
1754,Cassandra Clare,The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass
1755,Sidney Sheldon,If Tomorrow Comes
1756,"M.C. Escher, Bruce Brooks Pfeiffer",M.C. Escher: grafiek en tekeningen
1757,Donna Woolfolk Cross,Pope Joan
1758,Sebastian Faulks,Birdsong
1759,Terry Goodkind,"Faith of the Fallen  (Sword of Truth, #6)"
1760,Brandon Mull,"Fablehaven: Keys to the Demon Prison (Fablehaven, #5)"
1761,Joshua Foer,Moonwalking with Einstein: The Art and Science of Remembering Everything
1762,Sue Miller,While I Was Gone
1763,"James Patterson, Maxine Paetro","4th of July (Women's Murder Club, #4)"
1764,Eoin Colfer,The Time Paradox
1765,Norman Bridwell,An Itchy Day
1766,Kristin Cashore,Bitterblue
1767,Jandy Nelson,The Sky Is Everywhere
1768,Terry Pratchett,Wyrd Sisters
1769,Katy Evans,Real
1770,Joe Hill,NOS4A2
1771,"Anne Brontë, Stevie Davies",The Tenant of Wildfell Hall
1772,"Walter Farley, Keith Ward",The Black Stallion
1773,S.C. Stephens,Reckless
1774,"Lemony Snicket, Brett Helquist",The Grim Grotto
1775,Tomie dePaola,Strega Nona
1776,R.L. Mathewson,Playing for Keeps
1777,"David Bayles, Ted Orland",Art & Fear: Observations on the Perils (and Rewards) of Artmaking
1778,Hayden Herrera,Frida. A Biography of Frida Kahlo
1779,Kelley Armstrong,Bitten
1780,C.C. Hunter,Born at Midnight
1781,Mo Willems,Don't Let the Pigeon Drive the Bus
1782,Maggie Stiefvater,The Dream Thieves
1783,"Henry James, Patricia Crick",The Portrait of a Lady
1784,"Edgar Allan Poe, Gustave Doré",The Raven
1785,Charlotte Perkins Gilman,The Yellow Wallpaper
1786,Noah Hawley,Before the Fall
1787,محمد صادق,هيبتا
1788,Bill Watterson,The Calvin and Hobbes Tenth Anniversary Book
1789,Sarah Dessen,Dreamland 
1790,B.A. Shapiro,The Art Forger
1791,Shannon Hale,Austenland
1792,Chimamanda Ngozi Adichie,Half of a Yellow Sun
1793,Chetan Bhagat,One Night @ The Call Center
1794,Sara Gruen,At the Water's Edge
1795,"Richard Bachman, Stephen King",The Running Man
1796,Marilynne Robinson,Gilead
1797,Thomas Pynchon,The Crying of Lot 49
1798,Ken Follett,Edge of Eternity
1799,Rachel Hawkins,Demonglass
1800,"Philip K. Dick, David Alabort, Manuel Espín",Ubik
1801,Terry Brooks,The Sword of Shannara
1802,Thomas Harris,Hannibal
1803,L.J. Smith,The Awakening and the Struggle
1804,Liane Moriarty,Three Wishes
1805,L.J. Smith,"Night World, No. 3"
1806,Ann-Marie MacDonald,Fall on Your Knees
1807,Maggie Stiefvater,The Scorpio Races
1808,Pierce Brown,Morning Star
1809,Brian Jacques,Mossflower
1810,Jenny  Lawson,Furiously Happy
1811,Janet Evanovich,Visions of Sugar Plums
1812,Raymond E. Feist,"Magician: Master (The Riftwar Saga, #2)"
1813,Tracey Garvis-Graves,On the Island
1814,Lisa Genova,Left Neglected
1815,"Miep Gies, Alison Leslie Gold",Anne Frank Remembered
1816,John Scalzi,Redshirts
1817,Clive Cussler,Sahara
1818,Jeaniene Frost,One Foot in the Grave
1819,Liane Moriarty,The Last Anniversary
1820,Michael  Grant,Hunger 
1821,Janet Evanovich,Fearless Fourteen
1822,Chetan Bhagat,"Revolution 2020: Love, Corruption, Ambition"
1823,"Michael Bond, Peggy Fortnum",A Bear Called Paddington
1824,Sara Shepard,Flawless
1825,Beverly Cleary,"Ramona Quimby, Age 8"
1826,Nelson DeMille,The General's Daughter
1827,"Lemony Snicket, Brett Helquist",The Hostile Hospital
1828,Rumiko Takahashi,犬夜叉 1
1829,David Seltzer,The Omen
1830,Alyson Noel,Blue Moon
1831,David Baldacci,The Innocent
